Date,Samsung,LG
2021-01-04,89356,146036
2021-01-05,82157,142196
2021-01-06,81466,155976
2021-01-07,82276,159277
2021-01-08,87460,147309
2021-01-09,85243,153467
2021-01-10,88108,142490
2021-01-11,89161,156229
2021-01-12,83487,148863
2021-01-13,83277,148022
2021-01-14,87421,150824
2021-01-15,87997,158770
2021-01-16,82655,142476
2021-01-17,81388,150751
2021-01-18,89288,157482
2021-01-19,85134,156004
2021-01-20,84886,153795
2021-01-21,89023,142258
2021-01-22,81245,140599
2021-01-23,84134,150390
2021-01-24,86615,155534
2021-01-25,87615,154894
2021-01-26,84574,149026
2021-01-27,88754,140923
2021-01-28,88809,155870
2021-01-29,87883,154529
2021-01-30,86780,140002
2021-01-31,89980,143672
2021-02-01,85046,151159
2021-02-02,83126,153395
2021-02-03,88442,141938
2021-02-04,87922,148710
2021-02-05,89255,155608
2021-02-06,81024,156034
2021-02-07,80328,153325
2021-02-08,83034,147784
2021-02-09,80543,146488
2021-02-10,81504,150439
2021-02-11,88633,148205
2021-02-12,87454,151665
2021-02-13,80636,158754
2021-02-14,88275,152413
2021-02-15,80831,142606
2021-02-16,86214,156612
2021-02-17,84777,140485
2021-02-18,87442,153808
2021-02-19,82453,149544
2021-02-20,80797,143976
2021-02-21,86869,144917
2021-02-22,82003,157777
2021-02-23,85883,143005
2021-02-24,81131,152275
2021-02-25,81345,152830
2021-02-26,88334,146774
2021-02-27,85591,148628
2021-02-28,80736,157730
2021-03-01,89885,149048
2021-03-02,86392,145205
2021-03-03,89309,153241
2021-03-04,82840,155483
2021-03-05,80923,147638
2021-03-06,88035,157619
2021-03-07,89067,142015
2021-03-08,84766,156459
2021-03-09,85108,152431
2021-03-10,82291,151420
2021-03-11,81622,149331
2021-03-12,83561,155610
2021-03-13,83363,140592
2021-03-14,88805,151081
2021-03-15,86519,150301
2021-03-16,87717,157859
2021-03-17,86619,146247
2021-03-18,89200,157830
2021-03-19,82015,145588
2021-03-20,82732,145778
2021-03-21,82118,148593
2021-03-22,84723,156505
2021-03-23,85426,155194
2021-03-24,84246,155225
2021-03-25,80190,144383
2021-03-26,82991,153178
2021-03-27,82427,153730
2021-03-28,85632,146530
2021-03-29,82850,146695
2021-03-30,81124,154582
2021-03-31,82840,154065
2021-04-01,82920,142296
2021-04-02,89567,154996
2021-04-03,88492,156835
2021-04-04,84039,158225
2021-04-05,84697,159961
2021-04-06,84305,147472
2021-04-07,89250,153279
2021-04-08,82362,152614
2021-04-09,82457,148507
2021-04-10,87662,141780
2021-04-11,86045,155962
2021-04-12,85443,141508
2021-04-13,83572,150310
